country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Romania,Europe,940443,23234.0,840127.0,77082.0,1398.0,49130,1214.0,7236427.0,378038.0,19142075
Russia,Europe,4528543,98033.0,4146408.0,284102.0,2300.0,31021,672.0,119700000.0,819970.0,145980966
Rwanda,Africa,21490,305.0,19860.0,1325.0,13.0,1629,23.0,1130945.0,85754.0,13188321
Saint Barthelemy,North America,775,1.0,462.0,312.0,,78291,101.0,21651.0,2187191.0,9899
Saint Kitts And Nevis,North America,44,,43.0,1.0,,823,,10591.0,198044.0,53478
Saint Lucia,North America,4202,58.0,4107.0,37.0,2.0,22806,315.0,35480.0,192564.0,184250
Saint Martin,North America,1619,12.0,1399.0,208.0,7.0,41351,306.0,23812.0,608178.0,39153
Saint Pierre And Miquelon,North America,24,,24.0,0.0,,4157,,5126.0,887927.0,5773
Saint Vincent And The Grenadines,North America,1739,10.0,1587.0,142.0,2.0,15638,90.0,41200.0,370497.0,111202
Samoa,Australia/Oceania,3,,2.0,1.0,,15,,,,199391
San Marino,Europe,4631,84.0,4029.0,518.0,11.0,136270,2472.0,52049.0,1531574.0,33984
Sao Tome And Principe,Africa,2215,34.0,2064.0,117.0,,9970,153.0,12109.0,54506.0,222160
Saudi Arabia,Asia,388866,6656.0,377304.0,4906.0,674.0,11043,189.0,15008398.0,426202.0,35214273
Senegal,Africa,38566,1044.0,37040.0,482.0,29.0,2260,61.0,437125.0,25611.0,17068158
Serbia,Europe,590018,5231.0,498101.0,86686.0,252.0,67731,600.0,3388114.0,388939.0,8711174
Seychelles,Africa,4114,20.0,3588.0,506.0,,41641,202.0,5200.0,52633.0,98798
Sierra Leone,Africa,3970,79.0,2801.0,1090.0,,490,10.0,116448.0,14382.0,8096522
Singapore,Asia,60321,30.0,60131.0,160.0,1.0,10251,5.0,8307697.0,1411809.0,5884435
Sint Maarten,North America,2134,27.0,2073.0,34.0,1.0,49357,624.0,23608.0,546026.0,43236
Slovakia,Europe,358115,9542.0,255300.0,93273.0,651.0,65570,1747.0,2331828.0,426949.0,5461607
Slovenia,Europe,212966,4024.0,196518.0,12424.0,111.0,102429,1935.0,1046105.0,503141.0,2079150
Solomon Islands,Australia/Oceania,18,,16.0,2.0,,26,,4500.0,6435.0,699272
Somalia,Africa,11164,510.0,4759.0,5895.0,,688,31.0,,,16218807
South Africa,Africa,1545979,52710.0,1472645.0,20624.0,546.0,25826,881.0,9819994.0,164045.0,59861652
